Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
Lenovo,Lenovo V15,Celeron Dual Core,DOS,256 GB,8 GB,39.62 cm (15.6 inch),No,21990
ASUS,M6500QFB-LK742WS,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,67990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,66990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,53990
Infinix,XL30,Celeron Quad Core,Windows 11 Home,128 GB,4 GB,39.62 cm (15.6 Inch),No,20990
Acer,A315-24P,Ryzen 3 Quad Core,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,27990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
DELL,INSP 5620,Core i3,Windows 11 Home,512 GB,8 GB,40.64 cm (16 inch),Yes,43990
Acer,ANV15-51,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,64990
ASUS,K3504VAB-NJ541WS,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,59500
Infinix,XL422,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,38990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
ZEBRONICS,ZEB-NBC 2S,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,32990
Infinix,INBook Y1 Plus,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 inch),No,28790
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
HP,15s- ey2001au,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,53990
Primebook,Primebook S 4G,MediaTek MT8788,Prime OS,128 GB,4 GB,29.46 cm (11.6 Inch),No,16990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
Lenovo,15ACH6H,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,99990
Acer,PHN16-71,Core i7,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),No,119990
HP,15a- na0012TU,Celeron Dual Core,Chrome,128 GB,4 GB,39.62 cm (15.6 Inch),No,25935
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
ZEBRONICS,ZEB-NBC 3S,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,31990
ASUS,ROG Strix G15,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),Yes,84990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,77990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,54990
ASUS,RC71L-NH019W,Ryzen Z1 HexaCore,Windows 11 Home,512 GB,16 GB,17.78 cm (7 Inch),Yes,52990
Infinix,XL25,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,37990
ASUS,G513RC-HN083W,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,81990
MSI,Katana 17 B13UDXK-255IN,Core i7,Windows 11 Home,4 TB,16 GB,43.94 cm (17.3 Inch),No,93990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,66990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,53990
HP,Notebook,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,68373
Lenovo,15IGL05,Celeron Dual Core,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,26990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
ASUS,M6500QF-HN521W,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,50990
ASUS,K3605ZC-MBN541WS,Core i5,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),No,69990
HP,15-fb1016AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,64400
WINGS,WL-Nuvobook S1-SLV,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,24990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
Lenovo,15AMN7,Ryzen 3 Quad Core,Windows 11 Home,,8 GB,39.62 cm (15.6 inch),No,33990
HP,15s-fy5007TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,53990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
DELL,Inspiron 3530,Core i5,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,64990
ASUS,Chromebook,Celeron Dual Core,Chrome,64 GB,4 GB,35.56 cm (14 inch),Yes,23999
Acer,A315-59,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,31890
Acer,ANV15-51,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,62990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,77990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,54990
MSI,Thin GF63 12VE-070IN,Core i7,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,79990
HP,15-fb0150AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),Yes,54999
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,66990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,53990
HP,14-dv1000TU,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),No,57680
DELL,Inspiron,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,70199
DELL,G15-5525,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,96.52 cm (38 cm),No,93003
Lenovo,15ACH6H,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,98990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
Infinix,ZL513,Core i7,Windows 11 Home,1 TB,32 GB,39.62 cm (15.6 inch),No,57990
DELL,G15-5520,Core i7,Windows 11 Home,512 GB,16 GB,96.52 cm (38 cm),No,147689
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
Apple,MacBook Pro,M2,Mac OS Monterey,512 GB,8 GB,33.78 cm (13.3 Inch),No,136990
HP,15s,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,39550
MSI,Katana 15 B12VFK-299IN,Core i7,Windows 11 Home,4 TB,16 GB,39.62 cm (15.6 Inch),No,103990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
HP,15s FR2508TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38500
Acer,Aspire 5,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
ASUS,TUF Gaming F15,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),Yes,74990
ASUS,FX707ZC4-HX048WS,Core i5,Windows 11 Home,3 TB,8 GB,43.94 cm (17.3 inch),No,85990
HP,15s- eq2223AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,43500
MSI,Katana 17 B13VEK-254IN,Core i7,Windows 11 Home,4 TB,16 GB,43.94 cm (17.3 Inch),No,110990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,66990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,53990
Lenovo,15IRH8,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,107990
HP,15-fd0019TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,47119
CHUWI,CoreBook X,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,32990
CHUWI,CoreBook X,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),No,24990
ASUS,FX507ZC4-HN116W,Core i5,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,85990
DELL,Inspiron 3505,Ryzen 3 Dual Core,Windows 10,1 TB,8 GB,39.62 cm (15.6 inch),No,35855
ASUS,K3605ZC-MBN542WS,Core i5,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),No,69990
HP,15-eg2017TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,52250
CHUWI,FreeBook,Core i3,Windows 11 Home,512 GB,12 GB,34.29 cm (13.5 inch),Yes,33990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
MSI,Thin GF63 12VE-664IN,Core i7,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,90990
ASUS,X515JA-BQ322WS,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,33990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
ASUS,Vivobook 15 X1504ZA,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,47990
HP,15s FR2508TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,38500
Infinix,Inbook,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,34990
DELL,Inspiron 3520,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,42000
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
HP,XD0007ax,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,40.89 cm (16.1 Inch),No,110990
HP,16-wd0880TX,Core i5,Windows 11 Home,512 GB,16 GB,40.89 cm (16.1 Inch),No,94990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,54990
Infinix,XL25,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,29990
ASUS,CM3000DVA-HT0038,MediaTek Kompanio 500,Chrome,128 GB,4 GB,26.67 cm (10.5 inch),Yes,22990
MSI,Titan GT77HX 13VH-093IN,Core i9,Windows 11 Home,6 TB,64 GB,43.94 cm (17.3 Inch),No,489990
ASUS,X1502ZA-EJ331WS,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,45990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
ASUS,K513EA-L312WS,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,45500
ASUS,X515EA-EJ522WS,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,45116
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
Lenovo,15IAU7,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,32490
Lenovo,V15 G4,Ryzen 3 Quad Core,DOS,512 GB,8 GB,39.62 cm (15.6 Inch),No,27990
SAMSUNG,Galaxy Book3 Pro 360,Core i7,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),Yes,153990
DELL,Vostro 3425,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,38990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
Acer,A515-56,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,48990
Acer,Aspire Lite,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,39349
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,77990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,54990
Lenovo,14M868,MediaTek Kompanio 520,Chrome,128 GB,8 GB,35.56 cm (14 inch),No,20990
HP,Pavilion x360 2-in-1,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,89990
HP,14-dv2053TU,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,60990
Lenovo,V15 G2 ALC,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,33999
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
ASUS,E1404FA-NK322WS,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,34490
Infinix,Inbook,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,48990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
DELL,Inspiron 3505,Ryzen 3 Dual Core,Windows 10,1 TB,8 GB,39.62 cm (15.6 inch),No,35855
HP,14s,Ryzen 5 Hexa Core,Windows 10 Home,512 GB,8 GB,35.56 cm (14 Inch),No,53200
DELL,Vostro 3425,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,50990
HP,15s-fq2717TU,Core i3,Windows 11 Home,2 TB,8 GB,39.62 cm (15.6 Inch),No,37490
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
Acer,Swift Go 14,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,54990
HP,15s-fq5112TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,57990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,77990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,54990
ASUS,X515EA-EZ311WS,Core i3,Windows 11 Home,,8 GB,39.62 cm (15.6 Inch),Yes,38990
MSI,Katana 15 B12UDXK-1006IN,Core i5,Windows 11 Home,4 TB,8 GB,39.62 cm (15.6 Inch),No,72990
HP,XD0007ax,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,40.89 cm (16.1 Inch),No,110990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,66990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,53990
Lenovo,14ITL6,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,34990
DELL,G15-5525,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,96.52 cm (38 cm),No,93003
CHUWI,CoreBook X,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,32990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
HP,Pavilion,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,65499
DELL,Inspiron 5430,Core i5,Windows 11 Home,1 TB,8 GB,35.56 cm (14 inch),Yes,67890
DELL,Inspiron 3520,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37886
DELL,VOSTRO,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),Yes,54490
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
ASUS,X515JA-BQ322WS,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,33990
Acer,A515-56,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,48990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
HP,Pavilion x360 2-in-1,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,89990
DELL,Inspiron 3511,Core i3,Windows 11 Home,1 TB,8 GB,96.52 cm (38 cm),No,38499
ASUS,RC71L-NH001W,Ryzen Z1 Octa Core,Windows 11 Home,512 GB,16 GB,17.78 cm (7 Inch),Yes,59990
Acer,Nitro,Ryzen 5 Hexa Core,Windows 10 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,62990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,54990
HP,15s-du3517TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,49749
ASUS,CX1500CKA-EJ0277,Celeron Dual Core,Chrome,128 GB,4 GB,39.62 cm (15.6 Inch),No,16990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,77990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,66990
ASUS,X1404VA-NK542WS,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,59990
Lenovo,15APH8,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,83990
Lenovo,15ACH6,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,52890
DELL,Inspiron 15 3511,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,45990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
MSI,Raider GE66 12UGS,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),No,147743
Acer,CB314-3H,Celeron Dual Core,Chrome,128 GB,8 GB,35.56 cm (14 inch),No,23990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
ASUS,FX507VU-LP083WS,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,119990
Infinix,XL30,Celeron Quad Core,Windows 11 Home,128 GB,4 GB,39.62 cm (15.6 Inch),No,20990
ASUS,FX506LHB-HN355W | FX506LH-HN258W,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,49990
HP,Pavilion 15-EH3101AU,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,64600
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
GIGABYTE,G5 MF-E2IN313SH,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,72990
Lenovo,15ITL6,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,34490
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,54990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,77990
ASUS,X1500EA,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,37990
ASUS,GZ301ZE-LC193WS,Core i9,Windows 11 Home,1 TB,16 GB,34.04 cm (13.4 Inch),Yes,199990
MSI,GF63 Thin 11SC-1493IN,Core i5,Windows 11 Home,4 TB,16 GB,39.62 cm (15.6 Inch),No,48990
Lenovo,16ARH7H,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,40.64 cm (16 Inch),No,109990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,66990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,53990
Lenovo,Ideapad 5 14ABR8,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,66388
Acer,A715-51G,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,58500
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
realme,Book Prime,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,56999
HP,15-fh0015AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),Yes,78890
Lenovo,ThinkBook 15 Gen 2,Core i5,Windows 10 Home,1 TB,16 GB,38.1 cm (15 inch),No,58890
HP,15s-eq2132au,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,46150
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
ASUS,K3405ZF-LY542WS,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,64990
ASUS,FX506LHB-HN355W | FX506LH-HN258W,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,49990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
ASUS,G533ZXZ-LN116WS,Core i9,Windows 11 Home,1 TB,32 GB,39.62 cm (15.6 Inch),No,179990
MSI,Modern 14 C13M-435IN,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,64990
ASUS,G614JU-N3221WS,Core i5,Windows 11 Home,1 TB,16 GB,40.64 cm (16 Inch),No,144990
Acer,A715-76G,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,54990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,77990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,54990
SAMSUNG,Galaxy Book3 Pro,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,124990
GIGABYTE,G5 MF-E2IN313SH,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,72990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,66990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,53990
WINGS,WL-Nuvobook S2-SLV,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,25990
HP,15-eg2091T,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,74900
Infinix,XL30,Celeron Quad Core,Windows 11 Home,128 GB,4 GB,39.62 cm (15.6 Inch),No,20990
ASUS,M1603QA-MB511WS,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,40.64 cm (16 inch),No,53890
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
HP,14-dy1013TU,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,85999
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
Lenovo,15IHU6,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,47990
GIGABYTE,G5 GE-51IN263SH,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,57990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
HP,Pavilion x360,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,78468
